molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,target_chembl_id,label_active,MolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,RingCount
CHEMBL45942,Cc1ccccc1Nc1nccc(-n2ccnc2-c2ccccc2)n1,IC50,3080.0,nM,CHEMBL279,0,327.391,4.381320000000003,55.63,5,1,4,4
CHEMBL297856,c1ccc(-c2nccn2-c2ccnc(Nc3ccccn3)n2)cc1,IC50,6830.0,nM,CHEMBL279,0,314.35200000000003,3.467900000000001,68.52000000000001,6,1,4,4
CHEMBL295679,c1ccc(-c2nccn2-c2ccnc(Nc3cccnc3)n2)cc1,IC50,340.0,nM,CHEMBL279,1,314.35200000000003,3.467900000000001,68.52000000000001,6,1,4,4
CHEMBL296204,[O-][n+]1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,IC50,3570.0,nM,CHEMBL279,0,330.35100000000006,2.7063000000000006,82.57000000000001,6,1,4,4
CHEMBL295973,Cc1ccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc1,IC50,279.0,nM,CHEMBL279,1,327.3910000000001,4.381320000000003,55.63,5,1,4,4
CHEMBL295247,Cc1cc(C)cc(Nc2nccc(-n3cc(C)nc3-c3ccccc3)n2)c1,IC50,450.0,nM,CHEMBL279,1,355.44500000000005,4.998160000000004,55.63,5,1,4,4
CHEMBL47832,Cc1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,IC50,18.0,nM,CHEMBL279,1,327.3910000000001,4.381320000000003,55.63,5,1,4,4
CHEMBL46642,Cc1cc(C)cc(Nc2nccc(-n3ccnc3C3CC3)n2)c1,IC50,1870.0,nM,CHEMBL279,0,305.3850000000001,3.9001400000000013,55.63,5,1,4,4
CHEMBL44915,Cc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(C(F)(F)F)c1,IC50,5.0,nM,CHEMBL279,1,395.38800000000003,5.400120000000002,55.63,5,1,4,4
CHEMBL297156,Cc1cc(C)cc(Nc2cc(-n3ccnc3-c3ccccc3)ncn2)c1,IC50,1808.0,nM,CHEMBL279,0,341.41800000000006,4.689740000000003,55.63,5,1,4,4
CHEMBL297675,COc1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,IC50,20.0,nM,CHEMBL279,1,343.39000000000004,4.081500000000002,64.86,6,1,5,4
CHEMBL45389,Clc1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,IC50,25.0,nM,CHEMBL279,1,347.809,4.726300000000003,55.63,5,1,4,4
CHEMBL296475,Cc1cc(C)cc(Nc2nccc(-n3ccnc3C#N)n2)c1,IC50,232.0,nM,CHEMBL279,1,290.33,2.89442,79.42,6,1,3,3
CHEMBL47852,COc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(OC)c1,IC50,5.0,nM,CHEMBL279,1,373.4160000000001,4.090100000000002,74.09,7,1,6,4
CHEMBL445327,Cc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)ccn1,IC50,276.5,nM,CHEMBL279,1,328.379,3.776320000000002,68.52000000000001,6,1,4,4
CHEMBL45750,COc1ccccc1Nc1nccc(-n2ccnc2-c2ccccc2)n1,IC50,289.0,nM,CHEMBL279,1,343.39000000000004,4.081500000000003,64.86,6,1,5,4
CHEMBL45214,c1ccc(-c2nccn2-c2ccnc(Nc3ccncc3)n2)cc1,IC50,273.0,nM,CHEMBL279,1,314.35200000000003,3.467900000000001,68.52000000000001,6,1,4,4
CHEMBL47110,Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3ccccn3)n2)c1,IC50,1610.0,nM,CHEMBL279,0,342.406,4.084740000000003,68.52000000000001,6,1,4,4
CHEMBL47965,Cc1cc(C)cc(Nc2nccc(-n3ccnc3C)n2)c1,IC50,765.0,nM,CHEMBL279,1,279.347,3.3311600000000006,55.63,5,1,3,3
CHEMBL44622,Cc1cc(C)cc(Nc2nccc(-n3ccnc3N)n2)c1,IC50,4220.0,nM,CHEMBL279,0,280.335,2.604939999999999,81.65,6,2,3,3
CHEMBL296430,FC(F)(F)c1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(C(F)(F)F)c1,IC50,77.0,nM,CHEMBL279,1,449.3580000000001,6.110500000000004,55.63,5,1,4,4
CHEMBL44608,FC(F)(F)c1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,IC50,10.0,nM,CHEMBL279,1,381.3610000000001,5.091700000000003,55.63,5,1,4,4
CHEMBL431930,Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3cccc(F)c3)n2)c1,IC50,45.0,nM,CHEMBL279,1,359.408,4.828840000000003,55.63,5,1,4,4
CHEMBL46696,COc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(C(F)(F)F)c1,IC50,19000.0,nM,CHEMBL279,0,411.38700000000006,5.1003000000000025,64.86,6,1,5,4
CHEMBL295816,Cc1cc(C)cc(Nc2cc(-n3ccnc3-c3ccccc3)ccn2)c1,IC50,892.0,nM,CHEMBL279,1,340.43000000000006,5.2947400000000036,42.74,4,1,4,4
CHEMBL43949,c1ccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc1,IC50,105.0,nM,CHEMBL279,1,313.36400000000003,4.072900000000002,55.63,5,1,4,4
CHEMBL47166,Cc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(C)n1,IC50,135.0,nM,CHEMBL279,1,342.40600000000006,4.084740000000002,68.52000000000001,6,1,4,4
